frame,worker_id,helmet,vest,mask,status
1,3,False,False,False,MONITORING
1,5,True,False,False,MONITORING
1,6,False,False,False,MONITORING
2,3,False,False,False,MONITORING
2,5,True,False,False,MONITORING
2,6,False,False,False,MONITORING
3,3,False,False,False,NO HARDHAT | NO SAFETY VEST
3,5,True,False,False,MONITORING
3,6,False,False,False,MONITORING
4,3,False,False,False,NO HARDHAT | NO SAFETY VEST
4,5,True,False,False,NO SAFETY VEST
5,3,False,False,False,NO HARDHAT | NO SAFETY VEST
5,5,True,False,False,NO SAFETY VEST
6,3,False,False,False,NO HARDHAT | NO SAFETY VEST
6,5,True,False,False,NO SAFETY VEST
7,3,False,False,False,NO HARDHAT | NO SAFETY VEST
7,5,True,False,False,NO SAFETY VEST
8,3,False,False,False,NO HARDHAT | NO SAFETY VEST
8,5,True,False,False,NO HARDHAT
9,3,False,False,False,NO HARDHAT | NO SAFETY VEST
9,5,True,False,False,NO HARDHAT
10,3,False,False,False,NO HARDHAT | NO SAFETY VEST
10,5,True,False,False,NO HARDHAT
10,6,False,False,False,MONITORING
11,3,False,False,False,NO HARDHAT | NO SAFETY VEST
11,5,True,False,False,NO HARDHAT
12,3,False,False,False,NO HARDHAT | NO SAFETY VEST
12,5,False,False,False,NO HARDHAT
13,3,False,False,False,NO HARDHAT | NO SAFETY VEST
13,5,False,False,False,MONITORING
13,6,False,False,False,MONITORING
14,3,False,False,False,NO HARDHAT | NO SAFETY VEST
14,5,False,False,False,MONITORING
15,3,False,False,False,NO HARDHAT | NO SAFETY VEST
15,5,False,False,False,MONITORING
16,3,False,False,False,NO HARDHAT | NO SAFETY VEST
16,5,True,False,False,MONITORING
17,3,False,False,False,NO HARDHAT | NO SAFETY VEST
17,5,True,False,False,MONITORING
18,3,False,False,False,NO HARDHAT | NO SAFETY VEST
18,5,True,False,False,MONITORING
19,3,False,False,False,NO HARDHAT | NO SAFETY VEST
19,5,True,False,False,NO SAFETY VEST
20,3,False,False,False,NO HARDHAT | NO SAFETY VEST
20,5,True,False,False,NO SAFETY VEST
21,3,False,False,False,NO HARDHAT | NO SAFETY VEST
21,5,True,False,False,NO SAFETY VEST
22,3,False,False,False,NO HARDHAT | NO SAFETY VEST
22,5,True,False,False,NO SAFETY VEST
23,3,False,False,False,NO HARDHAT | NO SAFETY VEST
23,5,True,False,False,NO SAFETY VEST
24,3,False,False,False,NO HARDHAT | NO SAFETY VEST
24,5,True,False,False,NO SAFETY VEST
25,3,False,False,False,NO HARDHAT | NO SAFETY VEST
25,5,True,False,False,NO SAFETY VEST
26,3,False,False,False,NO HARDHAT | NO SAFETY VEST
26,5,True,False,False,NO SAFETY VEST
27,3,False,False,False,NO HARDHAT | NO SAFETY VEST
27,5,True,False,False,NO SAFETY VEST
28,3,False,False,False,NO HARDHAT | NO SAFETY VEST
28,5,True,False,False,NO SAFETY VEST
29,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
29,5,True,False,False,NO SAFETY VEST
30,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
30,5,True,False,False,NO SAFETY VEST
31,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
31,5,True,False,False,NO SAFETY VEST
31,6,False,False,False,MONITORING
32,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
32,5,True,False,False,MONITORING
32,6,False,False,False,MONITORING
33,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
33,5,True,False,False,MONITORING
33,6,False,False,False,MONITORING
34,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
34,5,True,False,False,MONITORING
34,6,False,False,False,MONITORING
35,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
35,5,True,False,False,MONITORING
36,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
36,5,True,False,False,NO SAFETY VEST
36,6,False,False,False,MONITORING
37,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
37,5,True,False,False,NO SAFETY VEST
38,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
38,5,True,False,False,NO SAFETY VEST
39,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
39,5,True,False,False,MONITORING
40,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
40,5,True,False,False,MONITORING
41,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
41,5,True,False,False,MONITORING
42,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
42,5,True,False,False,MONITORING
43,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
43,5,True,False,False,MONITORING
44,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
44,5,True,False,False,MONITORING
45,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
45,5,True,False,False,MONITORING
46,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
46,5,True,False,False,MONITORING
47,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
47,5,True,False,False,NO SAFETY VEST | NO MASK
48,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
48,5,True,False,False,NO SAFETY VEST | NO MASK
49,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
49,5,True,False,False,NO SAFETY VEST | NO MASK
50,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
50,5,True,False,False,NO SAFETY VEST | NO MASK
50,6,False,False,False,MONITORING
51,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
51,5,True,False,False,NO SAFETY VEST | NO MASK
51,29,False,False,False,MONITORING
52,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
52,5,True,False,False,NO SAFETY VEST
52,29,False,False,False,MONITORING
53,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
53,5,True,False,False,NO SAFETY VEST
53,29,False,False,False,MONITORING
54,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
54,5,True,False,False,NO SAFETY VEST
54,29,False,False,False,MONITORING
55,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
55,5,True,False,False,NO SAFETY VEST
55,29,False,False,False,MONITORING
56,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
56,5,True,False,False,NO SAFETY VEST | NO MASK
57,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
57,5,True,False,False,NO SAFETY VEST | NO MASK
58,3,False,False,False,NO HARDHAT | NO SAFETY VEST
58,5,True,False,False,NO SAFETY VEST | NO MASK
59,3,False,False,False,NO HARDHAT | NO SAFETY VEST
59,5,True,False,False,NO SAFETY VEST | NO MASK
60,3,False,False,False,NO HARDHAT | NO SAFETY VEST
60,5,True,False,False,NO SAFETY VEST | NO MASK
61,3,False,False,False,NO HARDHAT | NO SAFETY VEST
61,5,True,False,False,NO SAFETY VEST | NO MASK
62,3,False,False,False,NO HARDHAT | NO SAFETY VEST
62,5,True,False,False,NO SAFETY VEST | NO MASK
63,3,False,False,False,NO HARDHAT | NO SAFETY VEST
63,5,True,False,False,NO SAFETY VEST
64,3,False,False,False,NO HARDHAT | NO SAFETY VEST
64,5,True,False,False,NO SAFETY VEST
65,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
65,5,True,False,False,NO SAFETY VEST
66,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
66,5,True,False,False,MONITORING
67,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
67,5,True,False,False,MONITORING
67,33,False,False,False,MONITORING
68,3,False,False,False,NO HARDHAT | NO SAFETY VEST
68,5,True,False,False,MONITORING
68,33,False,False,False,MONITORING
69,3,False,False,False,NO HARDHAT | NO SAFETY VEST
69,5,True,False,False,MONITORING
69,33,False,False,False,NO SAFETY VEST
69,29,False,False,False,MONITORING
70,3,False,False,False,NO HARDHAT | NO SAFETY VEST
70,5,True,False,False,MONITORING
70,33,False,False,False,NO SAFETY VEST
70,29,False,False,False,MONITORING
71,3,False,False,False,NO HARDHAT | NO SAFETY VEST
71,5,True,False,False,MONITORING
72,3,False,False,False,NO HARDHAT | NO SAFETY VEST
72,5,True,False,False,MONITORING
72,33,False,False,False,NO SAFETY VEST
73,3,False,False,False,NO HARDHAT | NO SAFETY VEST
73,5,True,False,False,MONITORING
73,33,False,False,False,NO SAFETY VEST
74,3,False,False,False,NO HARDHAT | NO SAFETY VEST
74,5,True,False,False,MONITORING
74,33,False,False,False,NO SAFETY VEST
75,3,False,False,False,NO HARDHAT | NO SAFETY VEST
75,5,True,False,False,NO SAFETY VEST
75,33,False,False,False,NO SAFETY VEST
